Categoría: Todas las categorías

Mes,Windows,iOS,Android
2004-01,100,<1,<1
2004-02,99,<1,<1
2004-03,94,<1,<1
2004-04,92,<1,<1
2004-05,97,<1,<1
2004-06,92,<1,<1
2004-07,90,<1,<1
2004-08,93,<1,<1
2004-09,95,<1,<1
2004-10,91,<1,<1
2004-11,86,<1,<1
2004-12,84,<1,<1
2005-01,85,<1,<1
2005-02,82,<1,<1
2005-03,79,<1,<1
2005-04,74,<1,<1
2005-05,71,<1,<1
2005-06,70,<1,<1
2005-07,74,<1,<1
2005-08,77,<1,<1
2005-09,71,<1,<1
2005-10,70,<1,<1
2005-11,67,<1,<1
2005-12,69,<1,<1
2006-01,70,<1,<1
2006-02,66,<1,<1
2006-03,64,<1,<1
2006-04,59,<1,<1
2006-05,59,<1,<1
2006-06,62,<1,<1
2006-07,61,<1,<1
2006-08,64,<1,<1
2006-09,62,<1,<1
2006-10,61,<1,<1
2006-11,62,<1,<1
2006-12,63,<1,<1
2007-01,66,<1,<1
2007-02,71,<1,<1
2007-03,62,<1,<1
2007-04,58,<1,<1
2007-05,55,<1,<1
2007-06,55,<1,<1
2007-07,56,<1,<1
2007-08,55,<1,<1
2007-09,55,<1,<1
2007-10,54,<1,<1
2007-11,55,<1,1
2007-12,55,<1,<1
2008-01,54,<1,<1
2008-02,52,<1,<1
2008-03,53,<1,<1
2008-04,50,<1,<1
2008-05,51,<1,<1
2008-06,49,<1,<1
2008-07,51,<1,<1
2008-08,51,<1,<1
2008-09,50,<1,1
2008-10,52,<1,1
2008-11,49,<1,1
2008-12,53,<1,1
2009-01,61,<1,1
2009-02,54,<1,1
2009-03,54,<1,1
2009-04,53,<1,1
2009-05,57,<1,2
2009-06,52,1,2
2009-07,54,<1,2
2009-08,59,<1,2
2009-09,58,<1,3
2009-10,76,<1,4
2009-11,78,<1,5
2009-12,73,<1,5
2010-01,74,<1,5
2010-02,74,<1,5
2010-03,70,<1,6
2010-04,66,1,8
2010-05,61,1,9
2010-06,62,2,11
2010-07,58,2,13
2010-08,62,1,17
2010-09,63,2,16
2010-10,62,2,16
2010-11,61,4,18
2010-12,60,2,22
2011-01,59,2,22
2011-02,59,2,21
2011-03,58,3,22
2011-04,54,2,23
2011-05,54,2,25
2011-06,55,3,28
2011-07,55,3,29
2011-08,57,3,30
2011-09,58,3,31
2011-10,55,13,33
2011-11,55,7,34
2011-12,55,7,42
2012-01,55,6,40
2012-02,52,4,38
2012-03,53,6,40
2012-04,50,4,40
2012-05,48,5,37
2012-06,50,5,40
2012-07,51,4,42
2012-08,51,4,41
2012-09,52,14,43
2012-10,55,8,42
2012-11,61,7,43
2012-12,57,7,48
2013-01,58,7,48
2013-02,55,9,45
2013-03,55,6,43
2013-04,53,5,42
2013-05,49,5,44
2013-06,51,12,45
2013-07,51,8,46
2013-08,52,8,49
2013-09,51,30,49
2013-10,58,11,51
2013-11,55,9,49
2013-12,56,10,53
2014-01,57,9,51
2014-02,53,8,47
2014-03,53,9,46
2014-04,54,7,44
2014-05,52,6,45
2014-06,49,8,45
2014-07,49,7,46
2014-08,51,6,47
2014-09,50,16,45
2014-10,50,10,46
2014-11,49,9,48
2014-12,49,8,49
2015-01,49,7,48
2015-02,48,7,46
2015-03,48,7,45
2015-04,45,7,43
2015-05,44,6,43
2015-06,49,7,42
2015-07,57,8,43
2015-08,68,7,42
2015-09,53,13,41
2015-10,52,9,41
2015-11,48,7,39
2015-12,50,7,40
2016-01,43,7,38
2016-02,42,6,38
2016-03,41,7,35
2016-04,37,6,33
2016-05,38,6,34
2016-06,38,7,33
2016-07,40,10,41
2016-08,36,8,37
2016-09,37,12,34
2016-10,35,8,32
2016-11,34,7,31
2016-12,36,7,34
2017-01,34,6,33
2017-02,34,6,33
2017-03,33,6,31
2017-04,32,5,30
2017-05,31,5,28
2017-06,28,6,28
2017-07,29,6,30
2017-08,29,6,28
2017-09,30,9,28
2017-10,31,8,28
2017-11,31,7,27
2017-12,31,6,28
2018-01,31,6,27
2018-02,29,5,25
2018-03,29,6,25
2018-04,26,5,24
2018-05,27,5,24
2018-06,26,5,26
2018-07,25,5,25
2018-08,24,5,25
2018-09,25,6,25
2018-10,26,5,25
2018-11,25,5,24
2018-12,24,4,24
2019-01,25,4,23
2019-02,23,4,22
2019-03,22,4,21
2019-04,22,4,21
2019-05,22,4,22
2019-06,22,5,22
2019-07,22,5,22
2019-08,23,5,22
2019-09,23,7,22
2019-10,24,6,21
2019-11,22,4,20
2019-12,22,4,21
2020-01,25,4,21
2020-02,23,4,20
2020-03,27,4,21
2020-04,29,5,23
2020-05,26,4,22
2020-06,25,5,21
2020-07,25,5,20
2020-08,23,4,19
2020-09,24,10,19
2020-10,23,5,18
2020-11,21,5,17
2020-12,21,4,18
2021-01,22,4,18
2021-02,22,4,17
2021-03,21,3,18
2021-04,20,4,17
2021-05,19,3,17
2021-06,20,4,17
2021-07,18,4,17
2021-08,18,4,17
2021-09,19,5,16
2021-10,19,4,15
2021-11,19,4,15
2021-12,18,4,16
2022-01,19,4,16
2022-02,18,3,15
2022-03,18,3,15
2022-04,16,3,15
2022-05,16,3,15
2022-06,17,4,15
